corpus,problem,cap,gen,mean_K,mean_nodes,K_max
evogp,nguyen/3,64,100,8.337,49.307,15
operon,nguyen/4,64,0,12.423,45.392,28
operon,nguyen/4,64,1,10.233,36.995,28
operon,nguyen/4,64,2,10.792,38.6,29
operon,nguyen/4,64,4,14.899,53.125,29
operon,nguyen/4,64,8,18.027,61.643,29
operon,nguyen/4,64,16,19.451,64.363,30
operon,nguyen/4,64,32,20.294,64.709,29
operon,nguyen/4,64,64,20.267,65.761,30
operon,nguyen/4,64,100,21.375,70.781,30
evogp,nguyen/4,64,0,1.715,6.955,7
evogp,nguyen/4,64,1,1.081,5.359,8
evogp,nguyen/4,64,2,1.094,6.2,9
evogp,nguyen/4,64,4,1.782,10.767,10
evogp,nguyen/4,64,8,2.869,20.07,15
evogp,nguyen/4,64,16,5.176,38.83,18
evogp,nguyen/4,64,32,5.923,44.226,15
evogp,nguyen/4,64,64,7.074,56.178,11
evogp,nguyen/4,64,100,7.989,54.815,12
operon,nguyen/5,64,0,12.423,45.392,28
operon,nguyen/5,64,1,11.445,42.415,28
operon,nguyen/5,64,2,9.987,37.388,29
operon,nguyen/5,64,4,8.752,34.134,27
operon,nguyen/5,64,8,10.642,43.831,27
operon,nguyen/5,64,16,15.021,63.515,25
operon,nguyen/5,64,32,15.035,71.435,24
operon,nguyen/5,64,64,16.748,78.802,26
operon,nguyen/5,64,100,15.979,80.747,24
evogp,nguyen/5,64,0,1.715,6.955,7
evogp,nguyen/5,64,1,1.607,6.399,8
evogp,nguyen/5,64,2,1.995,7.168,10
evogp,nguyen/5,64,4,2.331,7.631,12
evogp,nguyen/5,64,8,3.195,10.796,20
evogp,nguyen/5,64,16,8.781,35.667,24
evogp,nguyen/5,64,32,6.635,43.691,17
evogp,nguyen/5,64,64,2.75,47.501,8
evogp,nguyen/5,64,100,4.388,50.349,9
operon,nguyen/6,64,0,12.423,45.392,28
operon,nguyen/6,64,1,10.001,36.111,28
operon,nguyen/6,64,2,8.793,31.105,26
operon,nguyen/6,64,4,10.87,38.389,27
operon,nguyen/6,64,8,16.053,55.782,29
operon,nguyen/6,64,16,16.674,57.279,28
operon,nguyen/6,64,32,17.142,63.069,26
operon,nguyen/6,64,64,17.602,69.097,26
operon,nguyen/6,64,100,17.517,67.757,28
evogp,nguyen/6,64,0,1.715,6.955,7
